Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Gears,City_Hwy_Consumption_Ratio,Engine_Size_per_Cylinder,CO2_per_L100km,Vehicle_Size_Group,Fuel_Type_Label
ACURA,ILX,COMPACT,2.0,4,AS,Z,9.9,6.7,8.5,33,196,5,1.478,0.5,23.06,Compact/Small,Premium Gasoline
ACURA,ILX,COMPACT,2.4,4,M,Z,11.2,7.7,9.6,29,221,6,1.455,0.6,23.02,Compact/Small,Premium Gasoline
ACURA,ILX HYBRID,COMPACT,1.5,4,AV,Z,6.0,5.8,5.9,48,136,7,1.034,0.375,23.05,Compact/Small,Premium Gasoline
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS,Z,12.7,9.1,11.1,25,255,6,1.396,0.583,22.97,SUV,Premium Gasoline
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS,Z,12.1,8.7,10.6,27,244,6,1.391,0.583,23.02,SUV,Premium Gasoline
ACURA,RLX,MID-SIZE,3.5,6,AS,Z,11.9,7.7,10.0,28,230,6,1.545,0.583,23.0,Mid-size,Premium Gasoline
ACURA,TL,MID-SIZE,3.5,6,AS,Z,11.8,8.1,10.1,28,232,6,1.457,0.583,22.97,Mid-size,Premium Gasoline
ACURA,TL AWD,MID-SIZE,3.7,6,AS,Z,12.8,9.0,11.1,25,255,6,1.422,0.617,22.97,Mid-size,Premium Gasoline
ACURA,TL AWD,MID-SIZE,3.7,6,M,Z,13.4,9.5,11.6,24,267,6,1.411,0.617,23.02,Mid-size,Premium Gasoline
ACURA,TSX,COMPACT,2.4,4,AS,Z,10.6,7.5,9.2,31,212,5,1.413,0.6,23.04,Compact/Small,Premium Gasoline
ACURA,TSX,COMPACT,2.4,4,M,Z,11.2,8.1,9.8,29,225,6,1.383,0.6,22.96,Compact/Small,Premium Gasoline
ACURA,TSX,COMPACT,3.5,6,AS,Z,12.1,8.3,10.4,27,239,5,1.458,0.583,22.98,Compact/Small,Premium Gasoline
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM,Z,9.7,6.9,8.4,34,193,6,1.406,0.45,22.98,Compact/Small,Premium Gasoline
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A,Z,18.0,12.6,15.6,18,359,6,1.429,0.492,23.01,Compact/Small,Premium Gasoline
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A,Z,18.0,12.6,15.6,18,359,6,1.429,0.492,23.01,Compact/Small,Premium Gasoline
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM,Z,17.4,11.3,14.7,19,338,7,1.54,0.588,22.99,Compact/Small,Premium Gasoline
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,18,354,6,1.484,0.588,22.99,Compact/Small,Premium Gasoline
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM,Z,17.4,11.3,14.7,19,338,7,1.54,0.588,22.99,Compact/Small,Premium Gasoline
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M,Z,18.1,12.2,15.4,18,354,6,1.484,0.588,22.99,Compact/Small,Premium Gasoline
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A,Z,18.0,12.6,15.6,18,359,6,1.429,0.492,23.01,Compact/Small,Premium Gasoline
AUDI,A4,COMPACT,2.0,4,AV,Z,9.9,7.4,8.8,32,202,8,1.338,0.5,22.95,Compact/Small,Premium Gasoline
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS,Z,11.5,8.1,10.0,28,230,8,1.42,0.5,23.0,Compact/Small,Premium Gasoline
AUDI,A4 QUATTRO,COMPACT,2.0,4,M,Z,10.8,7.5,9.3,30,214,6,1.44,0.5,23.01,Compact/Small,Premium Gasoline
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS,Z,11.5,8.1,10.0,28,230,8,1.42,0.5,23.0,Compact/Small,Premium Gasoline
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS,Z,11.5,8.1,10.0,28,230,8,1.42,0.5,23.0,Compact/Small,Premium Gasoline
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M,Z,10.8,7.5,9.3,30,214,6,1.44,0.5,23.01,Compact/Small,Premium Gasoline
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS,Z,12.0,8.1,10.2,28,235,8,1.481,0.5,23.04,Mid-size,Premium Gasoline
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS,Z,12.8,8.6,10.9,26,251,8,1.488,0.5,23.03,Mid-size,Premium Gasoline
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.2,8.1,35,217,8,1.581,0.5,26.79,Mid-size,Diesel
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS,Z,13.3,8.5,11.2,25,262,8,1.565,0.5,23.39,Mid-size,Premium Gasoline
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.2,8.1,35,217,8,1.581,0.5,26.79,Mid-size,Diesel
AUDI,A8,MID-SIZE,3.0,6,AS,Z,13.1,8.8,11.2,25,258,8,1.489,0.5,23.04,Mid-size,Premium Gasoline
AUDI,A8,MID-SIZE,4.0,8,AS,Z,13.7,8.3,11.3,25,265,8,1.651,0.5,23.45,Mid-size,Premium Gasoline
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS,D,9.8,6.5,8.4,34,224,8,1.508,0.5,26.67,Mid-size,Diesel
AUDI,A8L,FULL-SIZE,3.0,6,AS,Z,13.1,8.8,11.2,25,258,8,1.489,0.5,23.04,Mid-size,Premium Gasoline
AUDI,A8L,FULL-SIZE,4.0,8,AS,Z,14.7,9.7,12.5,23,288,8,1.515,0.5,23.04,Mid-size,Premium Gasoline
AUDI,A8L,FULL-SIZE,6.3,12,AS,Z,18.7,11.5,15.5,18,363,8,1.626,0.525,23.42,Mid-size,Premium Gasoline
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS,D,9.8,6.5,8.4,34,224,8,1.508,0.5,26.67,Mid-size,Diesel
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS,Z,11.8,8.8,10.5,27,242,8,1.341,0.5,23.05,Mid-size,Premium Gasoline
AUDI,Q5,SUV - SMALL,2.0,4,AS,Z,12.0,8.5,10.4,27,239,8,1.412,0.5,22.98,SUV,Premium Gasoline
AUDI,Q5,SUV - SMALL,3.0,6,AS,Z,12.9,9.2,11.2,25,258,8,1.402,0.5,23.04,SUV,Premium Gasoline
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS,D,10.2,7.8,9.0,31,244,8,1.308,0.5,27.11,SUV,Diesel
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS,Z,9.9,8.3,9.2,31,212,8,1.193,0.5,23.04,SUV,Premium Gasoline
AUDI,Q7,SUV - STANDARD,3.0,6,AS,Z,15.1,10.9,13.2,21,304,8,1.385,0.5,23.03,SUV,Premium Gasoline
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS,D,12.4,8.7,10.7,26,290,8,1.425,0.5,27.1,SUV,Diesel
AUDI,R8,TWO-SEATER,4.2,8,A,Z,17.6,11.0,14.6,19,336,7,1.6,0.525,23.01,Compact/Small,Premium Gasoline
AUDI,R8,TWO-SEATER,4.2,8,M,Z,21.2,13.4,17.7,16,407,6,1.582,0.525,22.99,Compact/Small,Premium Gasoline
AUDI,R8,TWO-SEATER,5.2,10,A,Z,18.2,10.6,14.8,19,347,7,1.717,0.52,23.45,Compact/Small,Premium Gasoline
